	publication	category	short_list	title_CR	link
313	bioRxiv	Immunology	Carlo Cervia,  Jakob Nilsson,  Yves Zurbuchen, ...	Systemic and mucosal antibody secretion specific to SARS-CoV-2 during mild versus severe COVID-19	https://www.bioRxiv.org/content/10.1101/2020.05.21.108308v1.article-metrics
319	bioRxiv	Immunology	Kizzmekia S. Corbett,  Darin Edwards,  Sarah R. Leist, ...	SARS-CoV-2 mRNA Vaccine Development Enabled by Prototype Pathogen Preparedness	https://www.bioRxiv.org/content/10.1101/2020.06.11.145920v1.article-metrics
318	bioRxiv	Immunology	Jesse H Erasmus,  Amit P Khandhar,  Alexandra C Walls, ...	Single-dose replicating RNA vaccine induces neutralizing antibodies against SARS-CoV-2 in nonhuman primates	https://www.bioRxiv.org/content/10.1101/2020.05.28.121640v1.article-metrics
314	bioRxiv	Immunology	Simon P Graham,  Rebecca K McLean,  Alexandra J Spencer, ...	Evaluation of the immunogenicity of prime-boost vaccination with the replication-deficient viral vectored COVID-19 vaccine candidate ChAdOx1 nCoV-19	https://www.bioRxiv.org/content/10.1101/2020.06.20.159715v1.article-metrics
310	bioRxiv	Immunology	Willianne Hoepel,  Hung-Jen Chen,  Sona Allahverdiyeva, ...	Anti-SARS-CoV-2 IgG from severely ill COVID-19 patients promotes macrophage hyper-inflammatory responses	https://www.bioRxiv.org/content/10.1101/2020.07.13.190140v1.article-metrics
317	bioRxiv	Immunology	Bahire Kalfaoglu,  José Almeida-Santos,  Chanidapa Adele Tye, ...	T-cell hyperactivation and paralysis in severe COVID-19 infection revealed by single-cell analysis	https://www.bioRxiv.org/content/10.1101/2020.05.26.115923v1.article-metrics
312	bioRxiv	Immunology	Divij Mathew,  Josephine R Giles,  Amy E Baxter, ...	Deep immune profiling of COVID-19 patients reveals patient heterogeneity and distinct immunotypes with implications for therapeutic interventions	https://www.bioRxiv.org/content/10.1101/2020.05.20.106401v1.article-metrics
316	bioRxiv	Immunology	Kevin W Ng,  Nikhil Faulkner,  Georgina Cornish, ...	Pre-existing and de novo humoral immunity to SARS-CoV-2 in humans	https://www.bioRxiv.org/content/10.1101/2020.05.14.095414v1.article-metrics
311	bioRxiv	Immunology	Davide F. Robbiani,  Christian Gaebler,  Frauke Muecksch, ...	Convergent Antibody Responses to SARS-CoV-2 Infection in Convalescent Individuals	https://www.bioRxiv.org/content/10.1101/2020.05.13.092619v1.article-metrics
315	bioRxiv	Immunology	Jaana Westmeier,  Krystallenia Paniskaki,  Zehra Karaköse, ...	Impaired cytotoxic CD8+ T cell response in elderly COVID-19 patients	https://www.bioRxiv.org/content/10.1101/2020.08.21.262329v1.article-metrics
272	bioRxiv	Microbiology	Linlin Bao,  Wei Deng,  Hong Gao, ...	Reinfection could not occur in SARS-CoV-2 infected rhesus macaques	https://www.bioRxiv.org/content/10.1101/2020.03.13.990226v1.article-metrics
258	bioRxiv	Microbiology	Alina Baum,  Richard Copin,  Dharani Ajithdoss, ...	REGN-COV2 antibody cocktail prevents and treats SARS-CoV-2 infection in rhesus macaques and hamsters	https://www.bioRxiv.org/content/10.1101/2020.08.02.233320v1.article-metrics
277	bioRxiv	Microbiology	Emily A Bruce,  Meei-Li Huang,  Garrett A Perchetti, ...	RT-qPCR DETECTION OF SARS-CoV-2 RNA FROM PATIENT NASOPHARYNGEAL SWAB USING QIAGEN RNEASY KITS OR DIRECTLY VIA OMISSION OF AN RNA EXTRACTION STEP	https://www.bioRxiv.org/content/10.1101/2020.03.20.001008v1.article-metrics
271	bioRxiv	Microbiology	Ludovico Cantuti-Castelvetri,  Ravi Ohja,  Liliana Pedro, ...	Neuropilin-1 facilitates SARS-CoV-2 cell entry and provides a possible pathway into the central nervous system	https://www.bioRxiv.org/content/10.1101/2020.06.07.137802v1.article-metrics
248	bioRxiv	Microbiology	James L Daly,  Boris Simonetti,  Carlos Anton Plagaro, ...	Neuropilin-1 is a host factor for SARS-CoV-2 infection	https://www.bioRxiv.org/content/10.1101/2020.06.05.134114v1.article-metrics
246	bioRxiv	Microbiology	Vojo Deretic,  Graham S Timmins,  Tommy Tsan-Yuk Lam, ...	Azithromycin and ciprofloxacin have a chloroquine-like effect on respiratory epithelial cells	https://www.bioRxiv.org/content/10.1101/2020.03.29.008631v1.article-metrics
267	bioRxiv	Microbiology	Kenneth H. Dinnon III,  Sarah R. Leist,  Alexandra Schafer, ...	A mouse-adapted SARS-CoV-2 model for the evaluation of COVID-19 medical countermeasures	https://www.bioRxiv.org/content/10.1101/2020.05.06.081497v1.article-metrics
269	bioRxiv	Microbiology	Neeltje van Doremalen,  Teresa Lambe,  Alex Spencer, ...	ChAdOx1 nCoV-19 vaccination prevents SARS-CoV-2 pneumonia in rhesus macaques	https://www.bioRxiv.org/content/10.1101/2020.05.13.093195v1.article-metrics
250	bioRxiv	Microbiology	Dale Fisher,  Alan Reilly,  Adrian Kang Eng Zheng, ...	Seeding of outbreaks of COVID-19 by contaminated fresh and frozen food	https://www.bioRxiv.org/content/10.1101/2020.08.17.255166v1.article-metrics
279	bioRxiv	Microbiology	Qiang Gao,  Linlin Bao,  Haiyan Mao, ...	Rapid development of an inactivated vaccine for SARS-CoV-2	https://www.bioRxiv.org/content/10.1101/2020.04.17.046375v1.article-metrics
247	bioRxiv	Microbiology	Zaniar Ghazizadeh,  Homa Majd,  Mikayla Richter, ...	Androgen regulates SARS-CoV-2 receptor levels and is associated with severe COVID-19 symptoms in men	https://www.bioRxiv.org/content/10.1101/2020.05.12.091082v1.article-metrics
274	bioRxiv	Microbiology	Nguyen Quynh Huong,  Nguyen Thi Thanh Nga,  Nguyen Van Long, ...	Coronavirus testing indicates transmission risk increases along wildlife supply chains for human consumption in Viet Nam, 2013-2014	https://www.bioRxiv.org/content/10.1101/2020.06.05.098590v1.article-metrics
252	bioRxiv	Microbiology	Meilin Jin,  Loren Mear,  Asa Edvinsson, ...	SARS-CoV-2 neutralizing serum antibodies in cats: a serological investigation	https://www.bioRxiv.org/content/10.1101/2020.04.01.021196v1.article-metrics
278	bioRxiv	Microbiology	Max J Kellner,  James J Ross,  Jakob Schnabl, ...	Scalable, rapid and highly sensitive isothermal detection of SARS-CoV-2 for laboratory and home testing	https://www.bioRxiv.org/content/10.1101/2020.06.23.166397v1.article-metrics
270	bioRxiv	Microbiology	Steffen Klein,  Mirko Cortese,  Sophie L. Winter, ...	SARS-CoV-2 structure and replication characterized by in situ cryo-electron tomography	https://www.bioRxiv.org/content/10.1101/2020.06.23.167064v1.article-metrics
